사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-08,3호선,69,경복궁(정부서울청사),374943,376246,55352,51447
2021-08,3호선,70,안국,360891,375889,57627,58797
2021-08,3호선,71,종로3가,171526,205564,45521,49857
2021-08,3호선,72,을지로3가,179659,185900,41251,39164
2021-08,3호선,73,충무로,32,0,1,0
2021-08,3호선,74,동대입구,148299,154404,25112,26351
2021-08,3호선,75,약수,234351,229856,64852,60959
2021-08,3호선,76,금호,146055,136971,42448,41913
2021-08,3호선,77,옥수,165500,175624,46313,46983
2021-08,3호선,78,압구정,630106,667432,96463,93485
2021-08,3호선,79,신사,626553,659705,55653,52597
2021-08,3호선,80,잠원,86626,85078,22613,21809
2021-08,3호선,81,고속터미널,864196,837538,127539,121428
2021-08,3호선,82,교대(법원.검찰청),253583,163830,47788,29035
2021-08,3호선,83,남부터미널(예술의전당),583212,602211,89346,89572
2021-08,3호선,84,양재(서초구청),724884,794181,108952,109177
2021-08,3호선,85,매봉,229068,221576,46321,42478
2021-08,3호선,86,도곡,98144,101030,18779,17212
2021-08,3호선,87,대치,223720,217732,46077,44166
2021-08,3호선,88,학여울,28899,29660,10492,9999
2021-08,3호선,89,대청,183092,167995,44233,43105
2021-08,3호선,90,일원,173680,172579,46437,46159
2021-08,3호선,91,수서,313554,322394,78330,77390
2021-08,3호선,92,가락시장,143036,139813,59352,57913
2021-08,3호선,93,경찰병원,133375,133354,32066,32831
2021-08,3호선,94,오금,119202,108840,21429,20686
2021-08,4호선,100,수유(강북구청),657576,653887,150792,150538
2021-08,4호선,101,미아(서울사이버대학),261741,251200,86561,88166
2021-08,4호선,102,미아사거리,511980,494310,141481,140132
2021-08,4호선,103,길음,368882,357636,85428,86116
2021-08,4호선,104,성신여대입구(돈암),402574,388562,64999,64122
2021-08,4호선,105,한성대입구(삼선교),256367,247708,56839,55979
2021-08,4호선,106,혜화,633077,641695,98424,96105
2021-08,4호선,107,동대문,313921,327651,113038,110415
2021-08,4호선,108,동대문역사문화공원(DDP),292698,269124,42867,38315
2021-08,4호선,109,충무로,464459,485936,88234,88285
2021-08,4호선,110,명동,341488,355977,42073,42943
2021-08,4호선,111,회현(남대문시장),374567,399170,127949,127755
2021-08,4호선,112,서울역,195335,297038,29061,32477
2021-08,4호선,113,숙대입구(갈월),243482,239804,40748,38349
2021-08,4호선,114,삼각지,93330,105931,17900,18547
2021-08,4호선,115,신용산,310045,330763,38498,39014
2021-08,4호선,116,이촌(국립중앙박물관),141703,159472,33589,35074
2021-08,4호선,117,동작(현충원),33454,36163,17435,16483
2021-08,4호선,118,총신대입구(이수),326852,358110,114886,121564
2021-08,4호선,119,사당,490050,403150,62416,60396
2021-08,4호선,120,남태령,20204,16483,7092,6616
2021-08,4호선,95,당고개,236153,213387,74756,74347
2021-08,4호선,96,상계,356326,329598,93702,92336
2021-08,4호선,97,노원,384222,433610,67827,66740
2021-08,4호선,98,창동,454091,483992,145475,151515
2021-08,4호선,99,쌍문,570546,519679,123997,122134
2021-08,경부선,121,서울역,132258,41583,7245,1793
2021-08,경부선,122,남영,175565,184157,27572,28691
2021-08,경부선,123,용산,742008,740289,93812,91785
2021-08,경부선,124,노량진,167835,166658,26548,23901
2021-08,경부선,125,대방,235710,245175,51516,51183
2021-08,경부선,126,영등포,744652,758974,165660,164605
2021-08,경부선,127,신도림,71751,70409,19916,22288
2021-08,경부선,151,신길,174071,143453,35720,33195
2021-08,경부선,249,구로,362442,369712,73906,71299
2021-08,경부선,250,가산디지털단지,346057,417715,27227,30342
2021-08,경부선,251,금천구청,210422,210346,59686,60726
2021-08,경부선,252,석수,188913,168665,36972,35091
2021-08,경부선,253,관악,129377,121642,39874,38514
2021-08,경부선,254,안양,416531,413174,87967,91870
2021-08,경부선,255,명학,167839,166030,32772,31972
2021-08,경부선,256,금정,513539,522637,86549,87426
2021-08,경부선,257,군포,143262,141756,27288,26373
2021-08,경부선,258,의왕,167675,167565,33052,33131
2021-08,경부선,259,성균관대,274916,276850,37345,37523
2021-08,경부선,260,화서,136425,132872,30115,29387
2021-08,경부선,261,수원,741199,775575,103726,106384
2021-08,경부선,262,독산,334649,350089,49716,50956
2021-08,경부선,263,세류,59903,56192,11711,11304
2021-08,경부선,264,병점,282211,282428,48670,48615
2021-08,경부선,265,세마,50725,47733,11448,10938
2021-08,경부선,266,오산대,62442,58179,12409,11907
2021-08,경부선,267,오산,200291,200679,34696,35281
2021-08,경부선,268,진위,29683,25830,6096,5728
2021-08,경부선,269,송탄,90076,86472,16365,15485
2021-08,경부선,270,서정리,126861,124431,24505,24249
2021-08,경부선,271,평택지제,67921,64018,8689,8421
2021-08,경부선,272,평택,248317,246992,49169,48231
2021-08,경부선,273,성환,62527,63978,14594,14944
2021-08,경부선,274,직산,14656,14751,3682,3526
2021-08,경부선,275,두정,104177,106108,16800,17095
2021-08,경부선,276,천안,95694,98209,44583,45049
2021-08,경부선,277,당정,113414,109490,22920,22397
2021-08,경부선,278,서동탄,27349,24571,6100,5987
2021-08,경부선,279,광명,70372,60617,6858,6541
2021-08,경인선,293,개봉,389353,392608,119246,125534
2021-08,경인선,294,오류동,216060,201587,70301,68941
2021-08,경인선,295,역곡,505672,502473,118507,120899
2021-08,경인선,296,부천,631789,633157,163626,166064
2021-08,경인선,297,송내,520630,520973,92468,91303
2021-08,경인선,298,부평,623369,662919,109914,111336
2021-08,경인선,299,백운,120928,119484,45727,46161
2021-08,경인선,300,동암,286916,288557,74399,75819
2021-08,경인선,301,주안,377057,342993,68312,60824
2021-08,경인선,302,제물포,189466,182591,47353,47208
2021-08,경인선,303,동인천,243223,231173,91876,89338
2021-08,경인선,304,인천,65396,47232,34478,31138
2021-08,경인선,305,구일,107035,108734,32415,31836
2021-08,경인선,306,소사,159549,155148,47357,47369
2021-08,경인선,307,부개,151254,140201,49070,48197
2021-08,경인선,308,간석,105435,100331,35124,34390
2021-08,경인선,309,도원,43754,43808,22581,24020
2021-08,경인선,310,온수(성공회대입구),116367,111972,37047,35720
2021-08,경인선,311,중동,161272,151496,54088,53135
2021-08,경인선,312,도화,68334,62585,30609,29724
2021-08,경원선,128,이촌(국립중앙박물관),67478,51195,20619,17990
2021-08,경원선,129,서빙고,33189,29216,12105,11211
2021-08,경원선,130,한남,74269,70261,23250,21492
2021-08,경원선,131,옥수,1322,878,82,45
2021-08,경원선,132,응봉,29210,24418,12913,11730
2021-08,경원선,133,왕십리(성동구청),279151,325780,49105,53805
2021-08,경원선,134,청량리(서울시립대입구),274321,280538,118082,126543
2021-08,경원선,136,외대앞,131966,132372,35576,37113
2021-08,경원선,137,신이문,146244,133919,55320,53805
2021-08,경원선,138,석계,144174,163918,49110,53410
2021-08,경원선,139,광운대,138171,131697,44329,43553
2021-08,경원선,140,월계,99360,94768,48660,46999
2021-08,경원선,141,녹천,79873,66637,30919,27513
2021-08,경원선,142,창동,3,0,3,0
2021-08,경원선,358,방학,147733,143880,84532,83786
2021-08,경원선,359,도봉,89323,84291,58546,58158
2021-08,경원선,360,도봉산,115631,61360,93745,74518
2021-08,경원선,361,망월사,121591,124503,55169,56182
2021-08,경원선,362,회룡,185396,183811,113560,113178
2021-08,경원선,363,의정부,366774,379339,85090,86686
2021-08,경원선,364,가능,115483,110075,46415,46009
2021-08,경원선,365,녹양,79255,76675,30381,29392
2021-08,경원선,366,양주,144081,135522,46445,45300
2021-08,경원선,367,덕계,53215,47465,17438,16820
2021-08,경원선,368,덕정,101029,97696,27436,27611
2021-08,경원선,369,지행,118713,118381,35727,35927
2021-08,경원선,370,동두천중앙,49049,47518,29260,28770
2021-08,경원선,371,보산,28425,26171,11522,10702
2021-08,경원선,372,동두천,30314,34020,21041,25377
2021-08,경원선,373,소요산,27883,21261,66302,60212
2021-08,안산선,280,산본,299031,326065,72899,75401
2021-08,안산선,281,대야미,93149,83934,24802,23768
2021-08,안산선,282,반월,78119,75744,22701,22468
2021-08,안산선,283,상록수,315560,317236,54165,54771
2021-08,안산선,284,한대앞,169906,169521,34430,34981
2021-08,안산선,285,중앙,362289,375501,44218,43545
2021-08,안산선,286,고잔,172758,164697,26250,25119
2021-08,안산선,287,초지,89229,92147,11902,12105
2021-08,안산선,288,안산,258037,239725,30479,28603
2021-08,안산선,289,신길온천,32519,29792,8092,8029
2021-08,안산선,290,정왕,161884,171949,21122,22580
2021-08,안산선,291,오이도,180982,176164,31652,30983
2021-08,안산선,292,수리산,70849,56699,26105,24260
2021-08,과천선,230,선바위,160067,139953,25031,24900
2021-08,과천선,231,경마공원,21306,20760,7102,6851
2021-08,과천선,232,대공원,42823,45547,31999,32123
2021-08,과천선,233,과천,101694,93426,31383,30177
2021-08,과천선,234,정부과천청사,189435,188481,38544,38477
2021-08,과천선,235,인덕원,450652,468660,77193,80049
2021-08,과천선,236,평촌,339262,333785,48105,47842
2021-08,과천선,237,범계,511639,505245,76049,74641
2021-08,분당선,143,선릉,247743,367449,32907,42284
2021-08,분당선,144,한티,302688,317123,49525,50929
2021-08,분당선,145,도곡,118666,116991,32351,31070
2021-08,분당선,146,구룡,31586,30625,11096,10993
2021-08,분당선,147,개포동,67081,69646,17992,17792
2021-08,분당선,148,대모산입구,63639,58112,22871,22695
2021-08,분당선,149,수서,265588,272966,49098,50437
2021-08,분당선,150,복정,11,0,0,0
2021-08,분당선,313,수원,169086,140268,23707,21222
2021-08,분당선,314,서울숲,215596,217377,22318,21919
2021-08,분당선,315,압구정로데오,402436,441341,35733,33740
2021-08,분당선,316,강남구청,187467,216607,29555,31877
2021-08,분당선,317,선정릉,150670,161130,20902,20332
2021-08,분당선,318,가천대,126586,148959,20962,22132
2021-08,분당선,319,태평,257671,239701,73651,76606
2021-08,분당선,320,모란,357668,351720,135499,147010
2021-08,분당선,321,야탑,470284,497475,108102,107275
2021-08,분당선,322,서현,482074,492406,89008,85467
2021-08,분당선,323,수내,245274,244783,55348,54022
2021-08,분당선,324,정자,327457,345682,47233,47516
2021-08,분당선,325,미금,275319,292194,80766,85488
2021-08,분당선,326,오리,213649,176550,55641,47918
2021-08,분당선,327,이매,99928,94620,29275,28350
2021-08,분당선,328,보정,40025,34732,14511,13747
2021-08,분당선,329,죽전,252109,282103,49633,54104
2021-08,분당선,330,구성,82903,91298,25002,25480
2021-08,분당선,331,신갈,80464,80254,20391,20887
2021-08,분당선,332,기흥,185459,177471,32715,31713
2021-08,분당선,333,상갈,99732,98161,24073,23410
2021-08,분당선,334,청명,78126,75117,14532,14408
2021-08,분당선,335,영통,165362,167954,21296,21742
2021-08,분당선,336,망포,280980,268773,26698,25712
2021-08,분당선,337,매탄권선,96024,92282,14646,14155
2021-08,분당선,338,수원시청,257674,273362,29746,30484
2021-08,분당선,339,매교,52427,52727,12841,12896
2021-08,일산선,374,원흥,193922,186855,45149,43397
2021-08,일산선,375,지축,4,0,0,0
2021-08,일산선,376,삼송,358197,347564,77110,78078
2021-08,일산선,377,원당,198483,188855,63618,62737
2021-08,일산선,378,화정,310788,322011,88656,91359
2021-08,일산선,379,대곡,33723,25602,10453,9834
2021-08,일산선,380,백석,179132,180374,55745,55183
2021-08,일산선,381,마두,125352,129678,49599,50861
2021-08,일산선,382,정발산,141576,144173,36383,34093
2021-08,일산선,383,주엽,147494,146031,64350,66302
2021-08,일산선,384,대화,239104,191825,60934,56769
2021-08,중앙선,135,회기,461990,451274,98598,96497
2021-08,중앙선,152,중랑,98438,93154,41057,40191
2021-08,중앙선,153,상봉(시외버스터미널),114627,115387,33503,31780
2021-08,중앙선,154,망우,129501,126885,56441,57498
2021-08,중앙선,155,양원,27528,27992,14320,14361
2021-08,중앙선,156,구리,251229,258548,63992,64977
2021-08,중앙선,157,도농,178906,165455,46796,45383
2021-08,중앙선,158,양정,12574,10647,7370,6757
2021-08,중앙선,159,덕소,99518,99952,37972,37840
2021-08,중앙선,160,도심,41752,31523,14821,13969
2021-08,중앙선,161,팔당,20940,21143,7484,7558
2021-08,중앙선,162,운길산,14570,13148,10216,10001
2021-08,중앙선,163,양수,33706,33414,20789,21371
2021-08,중앙선,164,신원,2987,2321,2923,2413
2021-08,중앙선,165,국수,10355,10006,7522,7584
2021-08,중앙선,166,아신,10161,9929,4863,4924
2021-08,중앙선,167,오빈,4593,4462,3370,3389
2021-08,중앙선,168,양평,47592,47113,24950,25428
2021-08,중앙선,169,원덕,4794,4255,4995,4796
2021-08,중앙선,170,용문,28032,27705,37264,37044
2021-08,중앙선,171,지평,740,937,1112,1082
2021-08,장항선,224,봉명,19066,18399,8086,7816
2021-08,장항선,225,쌍용(나사렛대),33525,31464,8700,8410
2021-08,장항선,226,아산,62921,55721,8697,8179
2021-08,장항선,227,배방,19135,18938,5442,5404
2021-08,장항선,228,온양온천,57091,58437,34129,34772
2021-08,장항선,229,신창(순천향대),26572,26932,6635,6239
2021-08,경의선,173,신촌,15616,18673,2991,3253
2021-08,경의선,174,효창공원앞,53183,62660,11943,12958
2021-08,경의선,176,서강대,42061,40137,9560,8986
2021-08,경의선,178,가좌,89987,85433,34776,35057
2021-08,경의선,180,수색,46385,47270,11968,11903
2021-08,경의선,181,화전,26084,24241,8291,8146
2021-08,경의선,182,강매,57625,49874,14275,13507
2021-08,경의선,183,행신,152853,154746,25995,26703
2021-08,경의선,184,능곡,66025,60147,23725,23037
2021-08,경의선,185,곡산,9588,9827,3947,4166
2021-08,경의선,186,백마,130503,126329,27516,27520
2021-08,경의선,187,풍산,105052,98446,26624,25889
2021-08,경의선,188,일산,163681,163733,45467,45525
2021-08,경의선,189,탄현,147570,142447,29028,28618
2021-08,경의선,190,야당,134884,132291,26144,25012
2021-08,경의선,191,운정,124688,118341,28399,28388
2021-08,경의선,192,금릉,90610,87577,20676,20366
2021-08,경의선,193,금촌,120103,119416,34237,35181
2021-08,경의선,194,월롱,45211,44764,6653,7498
2021-08,경의선,195,파주,20563,14494,6680,5697
2021-08,경의선,196,문산,91432,90243,37181,37100
2021-08,경의선,197,임진강,449,241,463,445
2021-08,경의선,198,서울역,75514,89903,11236,13948
2021-08,경의선,199,공덕,68595,60090,10803,10679
2021-08,경의선,200,홍대입구,37537,42140,4362,4559
2021-08,경의선,201,디지털미디어시티,48561,44727,8812,8824
2021-08,경의선,203,계양,5,0,0,0
2021-08,경의선,204,검암,3,0,1,0
2021-08,경춘선,205,신내,27312,26959,12968,12180
2021-08,경춘선,206,갈매,54174,47016,15506,14878
2021-08,경춘선,207,별내,57583,55894,17331,16819
2021-08,경춘선,208,퇴계원,64462,59743,22660,22286
2021-08,경춘선,209,사릉,60741,59020,16409,17151
2021-08,경춘선,210,금곡,23724,22629,12845,12448
2021-08,경춘선,211,평내호평,111618,110228,35734,34365
2021-08,경춘선,212,천마산,26911,24624,15143,15596
2021-08,경춘선,213,마석,68533,68328,27603,28107
2021-08,경춘선,214,대성리,9415,8248,5792,5296
2021-08,경춘선,215,청평,29945,28519,14584,14676
2021-08,경춘선,216,상천,4317,3479,4318,4160
2021-08,경춘선,217,가평,44152,44423,13234,12891
2021-08,경춘선,218,굴봉산,2369,1910,2567,2506
2021-08,경춘선,219,백양리,2331,1866,1737,1629
2021-08,경춘선,220,강촌,12359,11450,5271,5528
2021-08,경춘선,221,김유정,6539,7146,3488,3644
2021-08,경춘선,222,남춘천,44591,46711,20665,21588
2021-08,경춘선,223,춘천,25488,23189,15368,13360
2021-08,수인선,340,고색,77843,74611,11676,10524
2021-08,수인선,341,오목천,49831,46897,8718,8911
2021-08,수인선,342,어천,14215,14192,3582,3882
2021-08,수인선,343,야목,5022,4171,1617,1438
2021-08,수인선,344,사리,84920,75235,12983,12345
2021-08,수인선,345,달월,1325,988,957,589
2021-08,수인선,346,월곶,50075,47316,11497,11439
2021-08,수인선,347,소래포구,83274,80520,48524,47640
2021-08,수인선,348,인천논현,104583,110770,24726,25138
2021-08,수인선,349,호구포,73778,78190,16136,16308
2021-08,수인선,350,남동인더스파크,44949,49531,5656,5764
2021-08,수인선,351,원인재,80572,85119,24929,24919
2021-08,수인선,352,연수,82810,81899,21581,21732
2021-08,수인선,353,송도,41993,38310,16146,16253
2021-08,수인선,354,인하대,108696,102773,20039,19572
2021-08,수인선,355,숭의,68676,63190,23155,22080
2021-08,수인선,356,신포,31064,31183,10912,11003
2021-08,수인선,357,인천,17494,31231,14128,17136
2021-08,경강선,238,판교,91714,88949,10366,9241
2021-08,경강선,239,이매,20847,17461,4833,4594
2021-08,경강선,240,삼동,44125,40113,9293,9124
2021-08,경강선,241,경기광주,142367,136336,22674,22985
2021-08,경강선,242,초월,58831,56401,10660,10503
2021-08,경강선,243,곤지암,40372,41469,10283,10527
2021-08,경강선,244,신둔도예촌,26366,24979,5610,5594
2021-08,경강선,245,이천,52929,55711,9830,10525
2021-08,경강선,246,부발,40491,39751,6163,6130
2021-08,경강선,247,세종대왕릉,5033,4950,2725,2818
2021-08,경강선,248,여주,38308,39747,12972,12860
2021-08,5호선,385,방화,119306,114818,40939,39531
2021-08,5호선,386,개화산,97872,93832,30020,30114
2021-08,5호선,387,김포공항,168986,152981,27405,28837
2021-08,5호선,388,송정,118036,111709,39756,38402
2021-08,5호선,389,마곡,196814,195750,30833,30307
2021-08,5호선,390,발산,375472,390697,68739,65809
2021-08,5호선,391,우장산,255886,252527,69128,72589
2021-08,5호선,392,화곡,544258,511057,112453,107311
2021-08,5호선,393,까치산,559185,539811,123726,126278
2021-08,5호선,394,신정(은행정),269275,215748,47592,46709
2021-08,5호선,395,목동,319900,352982,64737,64902
2021-08,5호선,396,오목교(목동운동장앞),443415,480220,63256,63276
2021-08,5호선,397,양평,139803,139479,22439,22286
2021-08,5호선,398,영등포구청,69528,70617,15691,15619
2021-08,5호선,399,영등포시장,173793,180669,46239,46353
2021-08,5호선,400,신길,83027,89733,8629,8993
2021-08,5호선,401,여의도,528178,551403,39037,35848
2021-08,5호선,402,여의나루,211750,230973,19915,19187
2021-08,5호선,403,마포,259781,267009,47092,45987
2021-08,5호선,404,공덕,263323,283249,32274,30562
2021-08,5호선,405,애오개,122731,123141,28325,27374
2021-08,5호선,406,충정로(경기대입구),89993,90685,11299,11750
2021-08,5호선,407,서대문,345763,351394,49842,46455
2021-08,5호선,408,광화문(세종문화회관),576105,600413,51895,50103
2021-08,5호선,409,종로3가,207506,202438,71776,77840
2021-08,5호선,410,을지로4가,93455,96330,35883,35067
2021-08,5호선,411,동대문역사문화공원(DDP),54068,62535,6684,7372
2021-08,5호선,412,청구,71450,68849,20457,16274
2021-08,5호선,413,신금호,113317,116503,29405,33436
2021-08,5호선,414,행당,150129,135169,39212,35049
2021-08,5호선,415,왕십리(성동구청),90483,102156,17908,17488
2021-08,5호선,416,마장,98933,90776,29176,28203
2021-08,5호선,417,답십리,301957,275765,61038,58470
2021-08,5호선,418,장한평,351894,347461,69462,69803
2021-08,5호선,419,군자(능동),230222,251859,30814,31725
2021-08,5호선,420,아차산(어린이대공원후문),269453,264681,75047,73939
2021-08,5호선,421,광나루(장신대),246231,224543,54083,51374
2021-08,5호선,422,천호(풍납토성),343228,334150,95111,97194
2021-08,5호선,423,강동,348941,335425,75966,73524
2021-08,5호선,424,길동,135527,140953,56031,57821
2021-08,5호선,425,굽은다리(강동구민회관앞),174518,168440,55160,51299
2021-08,5호선,426,명일,145796,151098,49153,51864
2021-08,5호선,427,고덕,169698,171897,48746,48827
2021-08,5호선,428,상일동,283671,261688,66970,64699
2021-08,5호선,429,둔촌동,151889,151574,49076,49891
2021-08,5호선,430,올림픽공원(한국체대),71274,60854,27115,24307
2021-08,5호선,431,방이,129791,133376,34679,34426
2021-08,5호선,432,오금,71268,68855,15694,14894
2021-08,5호선,433,개롱,113669,121392,36457,37914
2021-08,5호선,434,거여,153049,147362,46487,46244
2021-08,5호선,435,마천,107904,105353,41909,43594
2021-08,5호선,436,강일,57180,56575,20770,20414
2021-08,5호선,437,미사,305047,305778,50296,50628
2021-08,5호선,438,하남풍산,75664,76575,18095,17841
2021-08,5호선,439,하남시청(덕풍·신장),90738,88916,40737,41807
2021-08,5호선,440,하남검단산,90726,87906,34205,34098
2021-08,6호선,441,응암,322124,324027,91143,90823
2021-08,6호선,442,역촌,66911,81607,28899,27981
2021-08,6호선,443,불광,73770,76505,30514,25763
2021-08,6호선,444,독바위,50281,52089,16604,20422
2021-08,6호선,445,연신내,34,0,1,0
2021-08,6호선,446,구산,139163,98068,41372,43359
2021-08,6호선,447,새절(신사),227469,210788,68395,69136
2021-08,6호선,448,증산(명지대앞),180589,179160,57062,58081
2021-08,6호선,449,디지털미디어시티,256095,279857,41889,41947
2021-08,6호선,450,월드컵경기장(성산),69944,75182,47174,46293
2021-08,6호선,451,마포구청,271302,245687,62027,55910
2021-08,6호선,452,망원,279523,306558,65750,68652
2021-08,6호선,453,합정,280260,269939,30724,28596
2021-08,6호선,454,상수,172882,196266,17174,17592
2021-08,6호선,455,광흥창(서강),167436,160430,34680,34403
2021-08,6호선,456,대흥(서강대앞),153318,158867,34197,33748
2021-08,6호선,457,공덕,339219,327816,56102,52613
2021-08,6호선,458,효창공원앞,127293,112310,30780,28731
2021-08,6호선,459,삼각지,129174,110821,12075,10005
2021-08,6호선,460,녹사평(용산구청),104104,103533,14660,14098
2021-08,6호선,461,이태원,195849,201603,23863,24612
2021-08,6호선,462,한강진,165925,190903,11712,11320
2021-08,6호선,463,버티고개,35958,36407,8307,11917
2021-08,6호선,464,약수,66406,64555,18792,17861
2021-08,6호선,465,청구,72196,73452,15836,18228
2021-08,6호선,466,신당,164833,172193,28072,27007
2021-08,6호선,467,동묘앞,144477,151480,54975,51190
2021-08,6호선,468,창신,65604,51961,15207,14259
2021-08,6호선,469,보문,142159,131890,23022,22197
2021-08,6호선,470,안암(고대병원앞),193347,194677,26030,24267
2021-08,6호선,471,고려대(종암),148747,141985,26546,26453
2021-08,6호선,472,월곡(동덕여대),202045,202486,55928,55888
2021-08,6호선,473,상월곡(한국과학기술연구원),112660,99050,31915,31406
2021-08,6호선,474,돌곶이,166326,155810,44684,43971
2021-08,6호선,475,석계,223101,232279,60338,60732
2021-08,6호선,476,태릉입구,104246,115083,23393,24897
2021-08,6호선,477,화랑대(서울여대입구),219053,171201,35319,31243
2021-08,6호선,478,봉화산(서울의료원),162724,152850,38828,38524
2021-08,6호선,479,신내,3,0,0,0
2021-08,7호선,480,장암,46449,19884,9192,7241
2021-08,7호선,481,도봉산,175736,203604,39740,56999
2021-08,7호선,482,수락산,236776,235501,78575,79049
2021-08,7호선,483,마들,231519,219212,67239,67176
2021-08,7호선,484,노원,377333,400125,92521,93185
2021-08,7호선,485,중계,255394,230387,68216,66173
2021-08,7호선,486,하계,326006,308491,78869,75884
2021-08,7호선,487,공릉(서울과학기술대),215500,216349,53404,53682
2021-08,7호선,488,태릉입구,162691,154502,34319,31829
2021-08,7호선,489,먹골,191420,186938,50763,51842
2021-08,7호선,490,중화,209759,204970,51666,51727
2021-08,7호선,491,상봉(시외버스터미널),346106,326099,55296,52733
2021-08,7호선,492,면목,288424,282061,78382,81431
2021-08,7호선,493,사가정,312199,311377,79847,79281
2021-08,7호선,494,용마산(용마폭포공원),115699,113234,28461,30853
2021-08,7호선,495,중곡,187468,175547,46645,47620
2021-08,7호선,496,군자(능동),286072,230193,58259,51886
2021-08,7호선,497,어린이대공원(세종대),246921,242004,31156,30686
2021-08,7호선,498,건대입구,247515,255187,41997,37440
2021-08,7호선,499,뚝섬유원지,173078,162469,34567,34836
2021-08,7호선,500,청담,367399,406017,54418,51822
2021-08,7호선,501,강남구청,326730,360295,37408,37351
2021-08,7호선,502,학동,468979,496052,44744,41348
2021-08,7호선,503,논현,412421,447276,40517,40040
2021-08,7호선,504,반포,112115,107240,24483,23045
2021-08,7호선,505,고속터미널,324146,260335,53605,46875
2021-08,7호선,506,내방,275125,281673,50889,49425
2021-08,7호선,507,이수,304198,298290,58350,56543
